elapsed_ms	fix	expected_kmh	map_rmse
764705	754	43.4	0.051426
768132	757	46.9	0.037778
771550	760	45.6	0.053777
774982	761	0.0	0.058261
778378	-1		0.028590
781761	-1		0.036157
785188	-1		0.019452
788539	-1		0.020288
791888	-1		0.013847
795234	-1		0.009092
798581	-1		0.021021
801955	-1		0.020925
805352	-1		0.013265
808724	-1		0.012612
812089	-1		0.014146
815456	-1		0.013660
818829	-1		0.014467
822188	-1		0.013338
825539	-1		0.009990
828880	-1		0.014248
