frame	fix	elapsed_s	route_kmh	rmse	identical	in_window
123	98	107.147	44.2	5.343717	0	1
124	98	108.074	44.2	5.290469	0	1
125	99	108.934	44.1	5.679983	0	1
126	100	109.842	44.5	5.987504	0	1
127	101	110.703	44.5	5.885684	0	1
128	102	111.556	44.5	6.541944	0	1
129	103	112.433	45.7	6.544597	0	1
130	104	113.323	45.9	6.653256	0	1
131	104	114.224	45.9	5.540184	0	1
132	105	115.089	47.1	5.083799	0	1
133	106	115.966	47.5	4.822655	0	1
134	107	116.845	46.7	5.463332	0	1
135	108	117.739	46.9	5.514243	0	1
136	109	118.610	47.0	7.542035	0	1
137	110	119.494	47.2	9.807644	0	1
138	111	120.402	47.6	9.073959	0	1
139	111	121.288	47.6	9.197982	0	1
140	112	122.196	47.4	9.613060	0	1
141	113	123.084	48.3	9.757648	0	1
142	114	123.974	48.0	6.901056	0	1
143	115	124.815	47.0	3.256695	0	1
144	116	125.740	47.1	5.597092	0	1
145	117	126.616	48.5	4.793202	0	1
146	118	127.514	48.6	4.454140	0	1
147	118	128.378	48.6	3.437090	0	1
148	119	129.275	50.0	4.030054	0	1
149	120	130.166	49.8	4.916335	0	1
150	121	131.029	49.0	5.101798	0	1
151	122	131.891	49.1	6.600949	0	1
152	123	132.797	42.6	6.514310	0	1
153	124	133.701	42.9	7.151860	0	1
154	124	134.567	42.9	7.633023	0	1
155	125	135.486	42.6	7.874656	0	1
156	126	136.363	38.3	8.241261	0	1
157	127	137.236	38.2	8.091896	0	1
158	128	138.118	37.9	7.576481	0	1
159	129	138.966	36.2	8.051551	0	1
160	130	139.860	36.2	8.657392	0	1
161	131	140.774	36.3	7.981034	0	1
162	131	141.664	36.3	7.900970	0	1
163	132	142.596	37.9	7.498749	0	1
164	133	143.469	37.8	7.556663	0	1
165	134	144.342	37.9	6.505291	0	1
166	135	145.224	39.8	5.667976	0	1
167	136	146.098	39.7	6.371383	0	1
168	137	146.993	39.8	5.492703	0	1
169	138	147.903	36.4	5.210796	0	1
170	138	148.780	36.4	5.140493	0	1
171	139	149.638	36.3	4.904922	0	1
172	140	150.470	36.3	5.143514	0	1
173	141	151.369	36.0	5.098679	0	1
174	142	152.249	36.0	5.189077	0	1
175	143	153.176	36.1	4.417747	0	1
176	144	154.073	32.7	5.384409	0	1
177	144	154.943	32.7	6.060644	0	1
178	145	155.849	33.1	4.106267	0	1
179	146	156.770	33.0	4.562322	0	1
180	147	157.665	28.5	6.576516	0	1
181	148	158.538	28.3	7.274866	0	1
182	149	159.410	28.5	7.582940	0	1
183	150	160.319	28.5	5.845454	0	1
184	151	161.205	15.6	4.845552	0	1
185	151	162.096	15.6	5.107741	0	1
186	152	162.964	15.6	3.436641	0	1
187	153	163.841	15.6	2.559032	0	1
188	154	164.683	15.6	2.485981	0	1
189	155	165.583	15.9	2.547920	0	1
190	156	166.441	15.6	5.594883	0	1
191	157	167.360	11.9	5.157685	0	1
192	158	168.253	12.0	5.546742	0	1
193	158	169.131	12.0	4.624141	0	1
194	159	169.968	12.2	3.963153	0	1
195	160	170.831	12.0	3.536005	0	1
196	161	171.714	11.9	3.572133	0	1
197	162	172.566	12.0	6.400289	0	1
198	163	173.455	12.2	6.732868	0	1
199	164	174.360	12.0	3.924222	0	1
200	164	175.221	12.0	4.134798	0	1
201	165	176.096	10.7	8.275445	0	1
202	166	177.004	10.6	9.932601	0	1
203	167	177.880	10.7	8.206914	0	1
204	168	178.773	10.7	8.029805	0	1
205	169	179.673	10.6	6.777886	0	1
206	170	180.569	10.7	5.877968	0	1
207	170	181.471	10.7	6.824194	0	1
208	171	182.367	10.7	5.906881	0	1
209	172	183.261	10.7	4.936138	0	1
210	173	184.142	10.6	4.522752	0	1
211	174	185.031	14.6	6.591562	0	1
212	175	185.923	14.6	12.072959	0	1
213	176	186.784	14.4	10.001378	0	1
214	177	187.685	14.6	8.280930	0	1
215	177	188.599	14.6	6.119003	0	1
216	178	189.528	14.4	5.078432	0	1
217	179	190.396	14.6	4.736050	0	1
218	180	191.262	14.4	4.195874	0	1
219	181	192.138	14.1	4.492699	0	1
220	182	193.024	13.9	5.482643	0	1
221	183	193.863	14.2	6.441921	0	1
222	184	194.755	13.9	7.996240	0	1
223	184	195.655	13.9	5.612655	0	1
224	185	196.543	13.9	5.466262	0	1
225	186	197.429	14.2	6.143489	0	1
226	187	198.288	13.9	6.104263	0	1
227	188	199.203	11.5	6.501705	0	1
228	189	200.077	11.2	6.071581	0	1
229	190	200.977	11.1	5.463499	0	1
230	190	201.834	11.1	6.630259	0	1
231	191	202.730	11.5	6.113375	0	1
232	192	203.595	11.2	5.736336	0	1
233	193	204.462	11.1	4.653141	0	1
234	194	205.366	11.5	6.011137	0	1
235	195	206.231	11.2	7.220991	0	1
236	196	207.102	11.2	5.797697	0	1
237	196	207.968	11.2	5.058618	0	1
238	197	208.831	17.6	6.075432	0	1
239	198	209.701	17.5	5.915122	0	1
240	199	210.569	17.5	6.191786	0	1
241	200	211.466	17.6	4.584722	0	1
242	201	212.344	17.5	6.367457	0	1
243	202	213.248	17.5	6.765777	0	1
244	203	214.153	19.9	5.032909	0	1
245	203	215.049	19.9	6.308219	0	1
246	204	215.927	19.7	6.416202	0	1
247	205	216.788	20.0	6.323183	0	1
248	206	217.655	19.9	4.419592	0	1
249	207	218.550	19.8	4.308434	0	1
250	208	219.440	14.8	6.050459	0	1
251	209	220.327	14.8	3.879286	0	1
252	209	221.204	14.8	3.242962	0	1
253	210	222.092	14.8	3.194911	0	1
254	211	222.968	15.1	3.378269	0	1
255	212	223.840	14.8	3.493249	0	1
256	213	224.728	14.8	3.444113	0	1
257	214	225.609	14.8	3.598146	0	1
258	215	226.488	15.9	3.457210	0	1
259	216	227.377	16.3	4.289351	0	1
260	216	228.247	16.3	5.635654	0	1
261	217	229.170	15.9	4.200448	0	1
262	218	230.038	15.9	5.094199	0	1
263	219	230.892	16.3	5.788870	0	1
264	220	231.791	15.9	6.957863	0	1
265	221	232.680	15.4	7.592340	0	1
266	222	233.583	15.4	10.258098	0	1
267	223	234.518	15.8	9.470943	0	1
268	223	235.409	15.8	10.235548	0	1
269	224	236.296	15.4	8.704119	0	1
270	225	237.134	15.4	8.456719	0	1
271	226	237.998	15.4	8.222502	0	1
272	227	238.830	19.0	8.756423	0	1
273	228	239.713	19.0	9.559178	0	1
274	229	240.603	19.0	9.128951	0	1
275	229	241.495	19.0	9.215395	0	1
276	230	242.354	19.0	9.425441	0	1
277	231	243.215	18.9	9.228883	0	1
278	232	244.104	22.8	8.969990	0	1
279	233	244.983	22.7	11.080469	0	1
280	234	245.861	22.8	9.360605	0	1
281	235	246.767	22.7	9.983490	0	1
282	235	247.641	22.7	9.526027	0	1
283	236	248.542	15.7	8.419100	0	1
284	237	249.456	15.5	9.008192	0	1
285	238	250.338	15.7	8.153011	0	1
286	239	251.233	15.4	7.738660	0	1
287	240	252.149	15.8	7.613067	0	1
288	241	253.004	15.7	9.103230	0	1
289	242	253.875	18.0	8.346229	0	1
290	242	254.766	18.0	8.450508	0	1
291	243	255.656	18.2	7.467351	0	1
292	244	256.508	18.1	7.266174	0	1
293	245	257.382	18.2	7.864035	0	1
294	246	258.256	18.0	7.853217	0	1
295	247	259.138	13.5	5.513283	0	1
296	248	260.023	13.6	8.070256	0	1
297	249	260.960	13.4	6.153395	0	1
298	249	261.862	13.4	3.859448	0	1
299	250	262.735	13.4	3.722415	0	1
300	251	263.573	13.4	3.810299	0	1
301	252	264.474	13.7	3.913518	0	1
302	253	265.336	13.4	6.974201	0	1
303	254	266.195	24.7	5.794359	0	1
304	255	267.089	24.7	6.596570	0	1
305	255	267.990	24.7	5.886735	0	1
306	256	268.878	24.7	4.785135	0	1
307	257	269.766	24.7	4.378568	0	1
308	258	270.632	28.3	4.529110	0	1
309	259	271.501	28.1	6.186450	0	1
310	260	272.370	28.3	6.523653	0	1
311	261	273.223	28.1	6.138186	0	1
312	261	274.100	28.1	6.179008	0	1
313	262	274.989	23.7	5.597230	0	1
314	263	275.854	23.8	5.008575	0	1
315	264	276.754	23.8	4.540946	0	1
316	265	277.632	23.7	4.341286	0	1
317	266	278.496	23.3	4.667786	0	1
318	267	279.384	23.4	5.063597	0	1
319	267	280.239	23.4	4.346615	0	1
320	268	281.158	23.2	4.523845	0	1
321	269	282.028	23.3	5.586458	0	1
322	270	282.880	24.6	4.733202	0	1
323	271	283.785	24.5	5.570907	0	1
324	272	284.679	24.6	5.851214	0	1
325	273	285.562	24.5	5.965697	0	1
326	274	286.464	22.9	5.655816	0	1
327	274	287.338	22.9	7.125924	0	1
328	275	288.215	22.5	5.296786	0	1
329	276	289.132	22.5	4.884902	0	1
330	277	290.005	22.7	4.383787	0	1
331	278	290.850	22.5	6.067617	0	1
332	279	291.750	27.4	5.556727	0	1
333	280	292.670	27.7	5.609920	0	1
334	281	293.545	27.4	4.649088	0	1
335	281	294.429	27.4	4.831762	0	1
336	282	295.292	27.5	4.470724	0	1
337	283	296.130	31.2	5.896534	0	1
338	284	297.020	30.9	7.960121	0	1
339	285	297.923	31.2	6.524556	0	1
340	286	298.827	31.6	5.438518	0	1
341	287	299.738	31.6	4.945398	0	1
342	287	300.650	31.6	4.120961	0	1
343	288	301.527	31.6	3.916783	0	1
344	289	302.388	26.9	6.290617	0	1
345	290	303.302	26.7	6.084149	0	1
346	291	304.232	26.8	6.813873	0	1
347	292	305.144	26.9	4.927555	0	1
348	293	306.000	21.6	4.257404	0	1
349	294	306.930	21.9	2.984375	0	1
350	295	307.816	21.6	2.194876	0	1
351	295	308.710	21.6	1.964659	0	1
352	296	309.599	21.6	1.931023	0	1
353	297	310.489	21.9	2.138872	0	1
354	298	311.357	20.4	2.506949	0	1
355	299	312.233	20.4	4.023605	0	1
356	300	313.164	20.4	3.121291	0	1
357	301	314.053	20.4	2.732529	0	1
358	302	314.934	20.6	3.180823	0	1
359	302	315.787	20.6	3.764474	0	1
360	303	316.662	18.6	3.827088	0	1
361	304	317.561	18.8	3.424096	0	1
362	305	318.440	18.9	3.354212	0	1
363	306	319.298	18.8	5.284784	0	1
364	307	320.178	18.8	4.467754	0	1
365	308	321.049	20.9	4.042584	0	1
366	308	321.942	20.9	3.742932	0	1
367	309	322.811	21.2	3.601429	0	1
368	310	323.670	20.9	3.428237	0	1
369	311	324.584	21.0	3.489040	0	1
370	312	325.465	21.1	5.122883	0	1
371	313	326.347	25.9	4.920011	0	1
372	314	327.247	26.1	5.501970	0	1
373	314	328.149	26.1	5.422840	0	1
374	315	329.022	26.2	4.728297	0	1
375	316	329.902	25.9	4.859379	0	1
376	317	330.806	31.2	7.281584	0	1
377	318	331.713	31.2	9.794660	0	1
378	319	332.609	31.2	8.453276	0	1
379	320	333.514	33.0	7.056351	0	1
380	321	334.416	33.3	6.609588	0	1
381	322	335.305	33.2	4.507414	0	1
382	322	336.292	33.2	4.641901	0	1
383	323	337.208	30.5	3.835423	0	1
384	324	338.144	30.5	4.187180	0	1
385	325	339.087	30.8	4.332204	0	1
386	326	340.074	28.9	5.487222	0	1
387	327	340.979	29.1	5.730396	0	1
388	328	341.847	28.9	4.975184	0	1
389	329	342.817	29.1	6.730763	0	1
390	330	343.753	29.5	6.212723	0	1
391	331	344.714	29.3	5.844494	0	1
392	332	345.533	29.5	6.014966	0	1
393	333	346.617	29.3	6.101338	0	1
394	334	347.514	32.3	6.073527	0	1
395	334	348.360	32.3	6.416011	0	1
396	335	349.238	32.0	6.180500	0	1
397	336	350.033	32.1	5.729129	0	1
398	337	350.833	31.7	7.034911	0	1
399	338	351.651	31.9	7.636143	0	1
400	338	352.429	31.9	8.258409	0	1
401	339	353.283	31.9	8.991487	0	1
402	340	354.045	26.4	9.227596	0	1
403	341	355.000	26.7	12.339041	0	1
404	342	355.946	26.7	11.416817	0	1
405	343	356.805	26.4	10.646406	0	1
406	344	357.711	18.6	8.682875	0	1
407	344	358.621	18.6	8.722232	0	1
408	345	359.527	18.7	9.935692	0	1
409	346	360.403	18.6	9.916149	0	1
410	347	361.262	18.5	9.198110	0	1
411	348	362.158	18.6	8.618720	0	1
412	349	363.026	9.4	9.463967	0	1
413	350	363.943	9.4	9.169062	0	1
414	351	364.828	9.4	7.744370	0	1
415	351	365.741	9.4	8.704348	0	1
416	352	366.648	9.4	9.090806	0	1
417	353	367.540	9.4	8.438237	0	1
418	354	368.353	9.7	7.358216	0	1
419	355	369.244	9.4	7.675210	0	1
420	356	370.128	9.4	6.711236	0	1
421	357	371.016	9.4	7.718892	0	1
422	357	371.900	9.4	8.043953	0	1
423	358	372.781	9.5	10.356053	0	1
424	359	373.672	10.7	8.241978	0	1
425	360	374.515	10.5	8.691118	0	1
426	361	375.376	10.7	8.579281	0	1
427	362	376.232	10.8	8.420581	0	1
428	363	377.128	10.7	11.908670	0	1
429	363	378.037	10.7	10.837820	0	1
430	364	378.940	10.7	10.685543	0	1
431	365	379.826	10.6	9.980036	0	1
432	366	380.716	10.7	8.005294	0	1
433	367	381.578	10.7	10.169114	0	1
434	368	382.511	11.3	9.037052	0	1
435	369	383.415	11.2	10.807509	0	1
436	370	384.320	11.5	9.697237	0	1
437	371	385.249	11.3	8.708733	0	1
438	371	386.155	11.3	8.702887	0	1
439	372	387.007	11.2	7.959427	0	1
440	373	387.905	11.2	8.973106	0	1
441	374	388.759	11.3	8.640344	0	1
442	375	389.669	11.2	9.088332	0	1
443	376	390.544	11.6	9.073963	0	1
444	377	391.405	19.3	7.989302	0	1
445	377	392.286	19.3	7.799708	0	1
446	378	393.161	19.5	6.738489	0	1
447	379	394.082	19.7	5.202736	0	1
448	380	394.965	19.5	0.774049	0	1
449	381	395.846	19.4	3.080317	0	1
450	382	396.725	22.7	5.107102	0	1
451	383	397.659	22.7	5.110493	0	1
452	384	398.565	22.7	3.392561	0	1
453	385	399.491	22.5	3.790600	0	1
454	385	400.353	22.5	5.987472	0	1
455	386	401.249	22.7	4.911149	0	1
456	387	402.150	21.0	4.730055	0	1
457	388	403.096	21.0	3.643642	0	1
458	389	403.977	21.0	2.572620	0	1
459	390	404.863	21.0	2.537257	0	1
460	391	405.766	21.0	2.754607	0	1
461	392	406.658	13.6	3.125811	0	1
462	392	407.560	13.6	5.289136	0	1
463	393	408.399	13.6	3.263789	0	1
464	394	409.269	13.5	3.304133	0	1
465	395	410.156	13.6	2.543739	0	1
466	396	411.040	13.5	4.068761	0	1
467	397	411.927	13.6	4.172332	0	1
468	398	412.857	13.5	4.459122	0	1
469	399	413.799	11.8	4.400537	0	1
470	399	414.698	11.8	4.593026	0	1
471	400	415.551	11.8	3.477057	0	1
472	401	416.419	11.6	3.091881	0	1
473	402	417.277	11.8	2.816921	0	1
474	403	418.133	11.8	2.600154	0	1
475	404	418.960	11.5	2.112050	0	1
476	405	419.895	11.8	5.531266	0	1
477	405	420.801	11.8	4.955530	0	1
478	406	421.727	11.8	3.632865	0	1
479	407	422.624	12.1	2.599723	0	1
480	408	423.518	12.0	5.115871	0	1
481	409	424.402	12.1	3.835620	0	1
482	410	425.308	12.2	4.317635	0	1
483	411	426.179	12.1	5.389130	0	1
484	412	427.063	12.0	4.942664	0	1
485	412	427.947	12.0	4.275486	0	1
486	413	428.870	12.1	3.711257	0	1
487	414	429.727	12.1	2.577938	0	1
488	415	430.616	13.0	2.364384	0	1
489	416	431.521	12.9	2.288109	0	1
490	417	432.396	12.9	5.406650	0	1
491	418	433.265	13.1	4.814808	0	1
492	419	434.119	12.8	4.569565	0	1
493	419	435.009	12.8	6.045823	0	1
494	420	435.879	12.9	5.888576	0	1
495	421	436.733	13.1	5.309230	0	1
496	422	437.576	12.9	3.965661	0	1
497	423	438.415	14.4	4.616778	0	1
498	424	439.328	14.1	6.543132	0	1
499	425	440.209	14.5	4.985884	0	1
500	425	441.081	14.5	6.181811	0	1
501	426	441.966	14.1	4.411967	0	1
502	427	442.878	14.4	5.301088	0	1
503	428	443.784	14.5	4.895044	0	1
504	429	444.673	14.1	5.693234	0	1
505	430	445.556	22.8	5.939938	0	1
506	431	446.479	22.4	3.931031	0	1
507	432	447.383	22.8	5.192057	0	1
508	432	448.290	22.8	5.101839	0	1
509	433	449.172	22.5	4.127650	0	1
510	434	450.073	27.9	4.482351	0	1
511	435	451.018	27.9	4.629163	0	1
512	436	451.964	27.9	3.830391	0	1
513	437	452.841	27.9	4.091395	0	1
514	438	453.750	30.1	3.933314	0	1
515	439	454.666	30.2	9.089961	0	1
516	440	455.568	30.2	7.878045	0	1
517	441	456.503	25.3	6.650243	0	1
518	441	457.387	25.3	8.310809	0	1
519	442	458.276	25.6	8.235397	0	1
520	443	459.157	25.6	6.745054	0	1
521	444	460.008	25.4	5.250858	0	1
522	445	460.843	19.9	5.637822	0	1
523	446	461.723	19.9	4.589944	0	1
524	447	462.602	19.9	3.268890	0	1
525	447	463.468	19.9	2.924359	0	1
526	448	464.357	19.9	2.860106	0	1
527	449	465.231	19.9	3.245324	0	1
528	450	466.107	22.8	2.891892	0	1
529	451	467.000	22.4	3.446546	0	1
530	452	467.924	22.5	5.214765	0	1
531	453	468.825	22.4	5.004712	0	1
532	454	469.729	22.5	4.727556	0	1
533	454	470.630	22.5	4.444882	0	1
534	455	471.526	24.8	3.310745	0	1
535	456	472.405	24.6	2.978293	0	1
536	457	473.308	24.6	3.046756	0	1
537	458	474.217	24.8	3.259881	0	1
538	459	475.075	19.0	3.664107	0	1
539	460	475.981	19.0	7.314532	0	1
540	460	476.832	19.0	6.023249	0	1
541	461	477.741	19.0	6.470203	0	1
542	462	478.648	19.0	7.662086	0	1
543	463	479.528	19.0	8.669796	0	1
544	464	480.395	12.1	9.840641	0	1
545	465	481.279	12.0	10.290938	0	1
546	466	482.162	12.1	9.984191	0	1
547	467	483.042	12.1	10.721807	0	1
548	467	483.922	12.1	9.694575	0	1
549	468	484.822	12.1	9.964394	0	1
550	469	485.702	12.1	9.228598	0	1
551	470	486.602	12.0	10.686083	0	1
552	471	487.498	12.1	11.123443	0	1
553	472	488.429	17.2	11.649780	0	1
554	473	489.298	17.4	10.597946	0	1
555	474	490.163	17.2	12.916102	0	1
556	474	491.047	17.2	12.820931	0	1
557	475	491.955	17.2	12.185315	0	1
558	476	492.876	17.2	12.130863	0	1
559	477	493.725	17.2	12.298455	0	1
560	478	494.633	15.3	12.973175	0	1
561	479	495.527	15.4	12.939701	0	1
562	480	496.410	15.4	12.065165	0	1
563	481	497.332	15.5	12.021813	0	1
564	481	498.197	15.5	13.375513	0	1
565	482	499.080	15.2	12.488846	0	1
566	483	499.966	15.4	12.388713	0	1
567	484	500.845	18.3	11.837617	0	1
568	485	501.730	18.2	11.257609	0	1
569	486	502.597	18.2	11.654369	0	1
570	487	503.465	18.2	11.406197	0	1
571	487	504.351	18.2	11.414092	0	1
572	488	505.257	18.2	10.893119	0	1
573	489	506.152	22.3	12.278272	0	1
574	490	507.030	22.7	11.819898	0	1
575	491	507.905	22.5	10.632031	0	1
576	492	508.807	22.5	10.141130	0	1
577	493	509.658	22.5	9.155438	0	1
578	494	510.566	25.3	8.826931	0	1
579	494	511.468	25.3	8.952850	0	1
580	495	512.388	25.1	8.521040	0	1
581	496	513.273	25.3	8.015122	0	1
582	497	514.168	25.1	6.973932	0	1
583	498	515.052	27.4	4.733669	0	1
584	499	515.928	27.0	3.777230	0	1
585	500	516.786	27.0	4.659996	0	1
586	501	517.673	27.3	4.032121	0	1
587	501	518.558	27.3	4.002222	0	1
588	502	519.492	29.4	9.534013	0	1
589	503	520.370	29.4	9.120045	0	1
590	504	521.253	29.4	8.061390	0	1
591	505	522.134	29.7	6.010519	0	1
592	506	523.035	30.6	4.643094	0	1
593	507	523.975	30.5	6.341289	0	1
594	508	524.876	30.6	5.291155	0	1
595	509	525.777	30.0	5.239079	0	1
596	509	526.666	30.0	3.880962	0	1
597	510	527.569	29.9	4.847488	0	1
598	511	528.503	30.2	4.866952	0	1
599	512	529.416	27.4	8.277545	0	1
600	513	530.335	27.3	9.470119	0	1
601	514	531.216	27.3	8.614967	0	1
602	515	532.078	27.3	7.006430	0	1
603	516	532.983	31.5	6.681108	0	1
604	517	533.898	31.7	9.142603	0	1
605	517	534.841	31.7	8.839470	0	1
606	518	535.766	31.7	8.099540	0	1
607	519	536.612	32.7	5.528488	0	1
608	520	537.478	32.7	4.119961	0	1
609	521	538.358	32.9	4.101370	0	1
610	522	539.250	33.4	4.806450	0	1
611	523	540.135	33.7	7.163798	0	1
612	524	541.066	33.4	3.864121	0	1
613	524	541.969	33.4	3.774457	0	1
614	525	542.861	33.0	3.409715	0	1
615	526	543.749	33.0	3.237457	0	1
616	527	544.638	32.7	2.550727	0	1
617	528	545.533	27.9	4.155874	0	1
618	529	546.413	28.3	8.792011	0	1
619	530	547.297	27.9	8.655703	0	1
620	531	548.226	27.9	7.301255	0	1
621	531	549.144	27.9	4.875340	0	1
622	532	550.049	28.9	8.702073	0	1
623	533	550.940	28.5	4.027264	0	1
624	534	551.823	28.9	4.231014	0	1
625	535	552.714	28.9	9.291571	0	1
626	536	553.582	31.2	8.264181	0	1
627	537	554.491	31.3	5.700969	0	1
628	538	555.414	31.2	7.217649	0	1
629	539	556.325	31.7	6.214955	0	1
630	539	557.250	31.7	5.149109	0	1
631	540	558.109	31.7	4.971171	0	1
632	541	558.991	31.4	5.029720	0	1
633	542	559.902	32.1	5.127017	0	1
634	543	560.792	32.1	5.383409	0	1
635	544	561.648	32.1	5.910009	0	1
636	545	562.562	32.8	6.070469	0	1
637	546	563.472	32.7	6.190035	0	1
638	546	564.398	32.7	6.609265	0	1
639	547	565.296	32.8	6.567577	0	1
640	548	566.214	32.5	6.761118	0	1
641	549	567.129	32.5	6.725402	0	1
642	550	568.021	32.6	6.445522	0	1
643	551	568.900	32.1	6.853976	0	1
644	552	569.777	32.1	7.370577	0	1
645	553	570.658	32.1	6.880182	0	1
646	553	571.559	32.1	6.934637	0	1
647	554	572.429	32.3	6.821598	0	1
648	555	573.344	32.0	7.420728	0	1
649	556	574.263	32.1	7.661322	0	1
650	557	575.160	33.5	8.053180	0	1
651	558	576.047	33.5	8.083355	0	1
652	559	576.978	33.5	9.255970	0	1
653	560	577.861	39.5	9.211847	0	1
654	561	578.761	39.8	9.145229	0	1
655	561	579.638	39.8	9.116724	0	1
656	562	580.548	39.5	8.939850	0	1
657	563	581.470	44.2	9.630955	0	1
658	564	582.378	44.2	9.306453	0	1
659	565	583.252	44.2	8.532340	0	1
660	566	584.174	44.5	8.870329	0	1
661	567	585.066	44.5	8.977291	0	1
662	568	585.967	44.5	8.717719	0	1
663	569	586.889	45.0	8.624239	0	1
