frame	elapsed_ms	fix	route_kmh	sign_red	dial_ink	map_mean	map_sd	map_rmse
00115	383215	378	27.5	0.0573	0.0832	0.5473	0.0238	0.025232
00116	386534	381	24.6	0.0573	0.0821	0.5473	0.0238	0.035539
00117	389883	384	21.9	0.0573	0.0788	0.5471	0.0239	0.033875
00118	393361	388	21.9	0.0573	0.0761	0.5471	0.0239	0.026190
00119	396713	391	16.0	0.0573	0.0695	0.5470	0.0237	0.033087
00120	400036	394	16.0	0.0573	0.0695	0.5471	0.0235	0.032271
00121	403387	398	0.0	0.0000	0.0000	0.5483	0.0229	0.034331
00122	406707	401	0.0	0.0000	0.0000	0.5483	0.0228	0.011442
00123	410023	404	0.0	0.0000	0.0000	0.5483	0.0228	0.005084
00124	413330	407	0.0	0.0000	0.0000	0.5483	0.0228	0.000000
00125	416624	411	0.0	0.0000	0.0000	0.5323	0.0143	0.041677
00126	419936	414	0.0	0.0000	0.0000	0.5483	0.0228	0.041680
00127	423289	417	0.0	0.0000	0.0000	0.5483	0.0228	0.018592
00128	426680	420	0.0	0.0000	0.0000	0.5410	0.0165	0.037911
00129	430033	424	0.0	0.0000	0.0000	0.5484	0.0235	0.039193
00130	433398	427	0.0	0.0000	0.0000	0.5484	0.0235	0.000212
00131	436802	430	0.0	0.0000	0.0000	0.5484	0.0234	0.050375
00132	440171	434	0.0	0.0000	0.0000	0.5484	0.0235	0.050343
00133	443563	437	0.0	0.0573	0.0562	0.5465	0.0237	0.019377
00134	446959	441	30.2	0.0573	0.0814	0.5460	0.0249	0.027835
00135	450383	444	34.8	0.0573	0.0793	0.5443	0.0250	0.040232
00136	453839	447	34.2	0.0573	0.0793	0.5435	0.0250	0.037472
00137	457303	451	28.5	0.0573	0.0831	0.5462	0.0248	0.030371
00138	460696	454	11.9	0.0573	0.0634	0.5475	0.0247	0.033028
00139	464046	457	11.8	0.0573	0.0682	0.5383	0.0163	0.040819
00140	467403	461	31.4	0.0573	0.0634	0.5477	0.0247	0.041330
00141	470822	464	32.1	0.0573	0.0766	0.5466	0.0256	0.040853
00142	474227	467	31.6	0.0573	0.0639	0.5471	0.0254	0.053251
00143	477629	471	31.8	0.0573	0.0766	0.5453	0.0257	0.053838
00144	481053	474	30.4	0.0573	0.0639	0.5442	0.0257	0.035687
00145	484458	477	28.7	0.0573	0.0831	0.5471	0.0252	0.033524
00146	487860	481	12.4	0.0573	0.0633	0.5415	0.0173	0.042588
00147	491282	484	12.4	0.0573	0.0634	0.5478	0.0249	0.042209
00148	494688	488	20.4	0.0574	0.0634	0.5476	0.0248	0.027814
00149	498063	491	20.8	0.0573	0.0634	0.5493	0.0249	0.048831
00150	501443	494	36.1	0.0573	0.0826	0.5468	0.0254	0.050582
00151	504886	498	40.8	0.0573	0.0792	0.5457	0.0258	0.035384
00152	508338	501	41.4	0.0573	0.0618	0.5455	0.0253	0.041681
00153	511793	504	39.0	0.0573	0.0618	0.5446	0.0254	0.040241
00154	515268	508	37.8	0.0573	0.0827	0.5446	0.0256	0.030675
00155	518705	511	40.3	0.0573	0.0792	0.5446	0.0260	0.036305
00156	522112	515	47.3	0.0573	0.0663	0.5450	0.0263	0.035593
00157	525532	518	57.6	0.0573	0.0858	0.5411	0.0259	0.058135
00158	528966	521	54.8	0.0573	0.0848	0.5418	0.0277	0.058765
00159	532396	525	50.6	0.0573	0.0793	0.5408	0.0273	0.041310
00160	535856	528	48.3	0.0573	0.0836	0.5440	0.0275	0.050177
00161	539269	531	45.4	0.0573	0.0771	0.5451	0.0280	0.048732
00162	542683	535	47.9	0.0573	0.0771	0.5323	0.0142	0.047701
00163	546036	538	42.3	0.0573	0.0744	0.5437	0.0284	0.047457
00164	549461	541	30.5	0.0573	0.0639	0.5432	0.0283	0.046889
00165	552852	545	66.9	0.0573	0.0792	0.5458	0.0287	0.062270
00166	556282	548	90.9	0.0573	0.0814	0.5409	0.0280	0.062534
00167	559733	552	124.9	0.0573	0.0827	0.5389	0.0267	0.043508
00168	563203	555	121.3	0.0573	0.0975	0.5385	0.0263	0.046077
00169	566666	558	115.5	0.0574	0.0762	0.5386	0.0261	0.044366
00170	570136	562	110.9	0.0573	0.0827	0.5392	0.0260	0.031818
00171	573618	565	111.0	0.0573	0.0891	0.5396	0.0260	0.036043
00172	577093	569	117.3	0.0573	0.0827	0.5396	0.0261	0.036818
00173	580583	572	118.6	0.0573	0.0858	0.5358	0.0154	0.040455
00174	584028	576	123.5	0.0573	0.0904	0.5389	0.0256	0.039554
00175	587490	579	125.7	0.0573	0.0997	0.5385	0.0255	0.039526
00176	590929	582	126.6	0.0573	0.1041	0.5384	0.0257	0.043248
00177	594349	586	126.9	0.0573	0.0899	0.5369	0.0253	0.049265
00178	597780	589	128.7	0.0573	0.1051	0.5365	0.0251	0.035747
00179	601234	593	131.0	0.0573	0.1034	0.5362	0.0249	0.034848
00180	604681	596	130.5	0.0573	0.0859	0.5359	0.0249	0.031842
00181	608126	599	132.2	0.0573	0.0985	0.5360	0.0250	0.036059
00182	611529	603	131.3	0.0573	0.0859	0.5364	0.0253	0.033123
00183	614959	606	130.2	0.0573	0.1034	0.5369	0.0258	0.039479
00184	618416	609	130.5	0.0573	0.0904	0.5331	0.0145	0.039715
00185	621884	613	129.2	0.0573	0.1034	0.5372	0.0264	0.041067
00186	625317	616	128.2	0.0573	0.1034	0.5371	0.0264	0.041249
00187	628792	620	128.4	0.0573	0.1034	0.5371	0.0263	0.037390
00188	632193	623	128.4	0.0573	0.1042	0.5371	0.0261	0.035169
00189	635612	626	128.6	0.0573	0.1051	0.5360	0.0256	0.038263
00190	639027	630	125.8	0.0573	0.1051	0.5362	0.0253	0.042715
00191	642412	633	123.9	0.0573	0.1041	0.5358	0.0248	0.038397
00192	645816	636	119.1	0.0573	0.0843	0.5358	0.0249	0.036913
00193	649238	640	107.2	0.0573	0.0849	0.5359	0.0249	0.028775
00194	652643	643	101.6	0.0573	0.1023	0.5360	0.0250	0.033786
00195	656077	647	96.0	0.0573	0.0827	0.5337	0.0150	0.038594
00196	659535	650	87.7	0.0573	0.0869	0.5365	0.0254	0.039651
00197	662943	653	79.2	0.0573	0.0830	0.5366	0.0255	0.039216
00198	666386	657	71.3	0.0573	0.0684	0.5332	0.0152	0.039915
00199	669742	660	64.9	0.0573	0.0739	0.5397	0.0277	0.044981
00200	673149	663	50.9	0.0573	0.0706	0.5396	0.0277	0.044899
00201	676571	667	42.4	0.0573	0.0744	0.5420	0.0283	0.038440
00202	679932	670	25.8	0.0574	0.0821	0.5477	0.0286	0.049798
00203	683321	673	0.0	0.0573	0.0429	0.5498	0.0282	0.049405
00204	686735	677	0.0	0.0000	0.0000	0.5502	0.0282	0.064099
00205	690093	680	0.0	0.0000	0.0000	0.5504	0.0285	0.063960
00206	693505	683	0.0	0.0000	0.0000	0.5237	0.0148	0.063886
00207	696818	687	0.0	0.0000	0.0000	0.5504	0.0285	0.063862
00208	700147	690	27.4	0.0573	0.0679	0.5343	0.0150	0.051641
00209	703523	693	25.2	0.0573	0.0821	0.5476	0.0296	0.050931
00210	706917	697	0.0	0.0573	0.0821	0.5477	0.0289	0.048606
00211	710302	700	0.0	0.0000	0.0000	0.5499	0.0284	0.063295
00212	713699	703	0.0	0.0000	0.0000	0.5334	0.0147	0.051700
00213	717071	707	0.0	0.0000	0.0000	0.5501	0.0284	0.051840
00214	720412	710	27.5	0.0572	0.0679	0.5480	0.0284	0.053941
00215	723805	713	40.8	0.0573	0.0837	0.5426	0.0264	0.058972
00216	727191	717	44.2	0.0573	0.0728	0.5438	0.0268	0.055168
00217	730616	720	47.4	0.0573	0.0815	0.5435	0.0260	0.041358
00218	734049	723	45.7	0.0574	0.0805	0.5431	0.0253	0.036458
00219	737464	727	41.7	0.0573	0.0749	0.5433	0.0253	0.031821
00220	740904	730	45.9	0.0573	0.0744	0.5431	0.0255	0.034708
00221	744319	734	47.2	0.0573	0.0663	0.5434	0.0255	0.035951
00222	747727	737	48.7	0.0573	0.0814	0.5434	0.0254	0.043601
00223	751126	740	49.4	0.0573	0.0827	0.5334	0.0149	0.042299
00224	754486	744	48.2	0.0573	0.0805	0.5425	0.0248	0.040734
00225	757883	747	47.6	0.0573	0.0814	0.5425	0.0246	0.038127
00226	761303	750	45.1	0.0573	0.0663	0.5406	0.0248	0.050874
00227	764705	754	43.4	0.0573	0.0805	0.5428	0.0250	0.051426
00228	768132	757	46.9	0.0573	0.0728	0.5436	0.0256	0.037778
00229	771550	760	45.6	0.0573	0.0805	0.5418	0.0265	0.053777
00230	774982	761	0.0	0.0000	0.0000	0.5521	0.0253	0.058261
00231	778378	-1		0.0000	0.0000	0.5523	0.0251	0.028590
00232	781761	-1		0.0573	0.1363	0.5362	0.0245	0.036157
00233	785188	-1		0.0573	0.1007	0.5401	0.0243	0.019452
00234	788539	-1		0.0000	0.0000	0.5478	0.0229	0.020288
00235	791888	-1		0.0000	0.0000	0.5479	0.0229	0.013847
00236	795234	-1		0.0573	0.0424	0.5479	0.0229	0.009092
00237	798581	-1		0.0000	0.0000	0.5479	0.0229	0.021021
00238	801955	-1		0.0000	0.0000	0.5479	0.0229	0.020925
00239	805352	-1		0.0000	0.0000	0.5479	0.0229	0.013265
00240	808724	-1		0.0000	0.0000	0.5479	0.0229	0.012612
00241	812089	-1		0.0000	0.0000	0.5479	0.0229	0.014146
00242	815456	-1		0.0000	0.0000	0.5479	0.0229	0.013660
00243	818829	-1		0.0000	0.0000	0.5479	0.0229	0.014467
00244	822188	-1		0.0000	0.0000	0.5479	0.0229	0.013338
00245	825539	-1		0.0000	0.0000	0.5479	0.0229	0.009990
00246	828880	-1		0.0000	0.0000	0.5479	0.0229	0.014248
